1 qid:10 1:0.031310 2:0.666667 3:0.500000 4:0.166667 5:0.033206 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.023327 12:0.641157 13:0.498951 14:0.323153 15:0.026674 16:0.029246 17:0.500000 18:0.222222 19:0.111111 20:0.029398 21:0.689128 22:0.636228 23:0.869764 24:0.716400 25:0.725186 26:0.554961 27:0.695985 28:0.504060 29:0.602946 30:0.679534 31:0.730286 32:0.687414 33:0.529688 34:0.436996 35:0.643739 36:0.372337 37:0.646890 38:0.686107 39:0.823908 40:0.750092 41:0.385426 42:0.923077 43:0.086207 44:0.333333 45:0.448276 46:0.000000 #docid = GX000-24-12369390 inc = 0.600318836372593 prob = 0.416367
1 qid:10 1:0.078682 2:0.166667 3:0.500000 4:0.333333 5:0.080022 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.108216 12:0.174635 13:0.501049 14:0.351114 15:0.112102 16:0.118642 17:0.562500 18:0.944444 19:0.333333 20:0.119184 21:0.696967 22:0.486387 23:0.938768 24:0.577082 25:0.209891 26:0.160965 27:0.185260 28:0.128353 29:0.205904 30:0.213219 31:0.256479 32:0.156858 33:0.352022 34:0.131372 35:0.079660 36:0.068825 37:0.649824 38:0.578581 39:0.868557 40:0.641385 41:0.010462 42:0.076923 43:0.074713 44:0.833333 45:0.678161 46:0.000000 #docid = GX000-62-7863450 inc = 1 prob = 0.56895
1 qid:10 1:0.019058 2:1.000000 3:1.000000 4:0.500000 5:0.022591 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.021256 12:1.000000 13:1.000000 14:0.674267 15:0.028989 16:0.020426 17:0.875000 18:0.777778 19:0.388889 20:0.021043 21:0.949146 22:0.867628 23:1.000000 24:0.838125 25:0.776131 26:1.000000 27:1.000000 28:1.000000 29:0.505564 30:0.922004 31:1.000000 32:1.000000 33:0.769817 34:0.890277 35:0.896671 36:0.940500 37:0.918403 38:0.868457 39:1.000000 40:0.863460 41:0.016642 42:0.153846 43:0.040230 44:0.833333 45:0.896552 46:0.000000 #docid = GX016-48-5543459 inc = 1 prob = 0.775913
0 qid:10 1:0.039477 2:0.000000 3:0.750000 4:0.166667 5:0.040555 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.036178 12:0.000000 13:0.751573 14:0.175557 15:0.039086 16:0.053319 17:0.187500 18:1.000000 19:0.111111 20:0.053668 21:0.605907 22:0.469614 23:0.827181 24:0.582661 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.266984 30:0.204123 31:0.323377 32:0.176450 33:0.287760 34:0.074987 35:0.002373 36:0.052280 37:0.565875 38:0.569440 39:0.769845 40:0.646567 41:0.073711 42:0.076923 43:0.034483 44:0.333333 45:0.218391 46:0.000000 #docid = GX037-87-3082362 inc = 0.588907390055858 prob = 0.3348
1 qid:10 1:0.004356 2:0.333333 3:0.500000 4:0.000000 5:0.005444 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.005481 12:0.401239 13:0.623484 14:0.000000 15:0.008768 16:0.004200 17:0.187500 18:0.333333 19:0.277778 20:0.004354 21:0.905490 22:0.826222 23:0.615224 24:0.854925 25:1.000000 26:0.789158 27:0.732735 28:0.668890 29:0.604408 30:0.836653 31:0.893125 32:0.809715 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.912987 38:0.851143 39:0.676743 40:0.871849 41:0.001705 42:0.076923 43:0.000000 44:0.500000 45:0.425287 46:0.000000 #docid = GX057-59-4044939 inc = 1 prob = 0.698286
0 qid:10 1:0.005717 2:0.166667 3:0.250000 4:0.166667 5:0.006532 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.006137 12:0.093975 13:0.125992 14:0.175557 15:0.006647 16:0.004907 17:0.437500 18:0.388889 19:0.111111 20:0.005106 21:0.391123 22:0.057740 23:0.132311 24:0.156797 25:0.136505 26:0.000000 27:0.000000 28:0.000000 29:0.111145 30:0.000000 31:0.000000 32:0.000000 33:0.287760 34:0.074987 35:0.002373 36:0.052280 37:0.359714 38:0.309091 39:0.140973 40:0.347101 41:0.484100 42:0.076923 43:0.040230 44:0.333333 45:0.264368 46:0.000000 #docid = GX057-97-13260700 inc = 1 prob = 0.103686
0 qid:10 1:0.003539 2:0.666667 3:0.500000 4:1.000000 5:0.006805 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.007315 12:0.556365 13:0.425787 14:1.000000 15:0.011953 16:0.002122 17:0.500000 18:0.166667 19:0.555556 20:0.002431 21:1.000000 22:0.821213 23:0.618569 24:0.760794 25:0.629282 26:0.496730 27:0.322453 28:0.429135 29:0.586885 30:0.574740 31:0.203756 32:0.611026 33:0.691470 34:0.558130 35:0.320146 36:0.621233 37:0.927142 38:0.871843 39:0.672174 40:0.829637 41:0.647070 42:0.384615 43:0.028736 44:1.000000 45:0.827586 46:0.000000 #docid = GX058-98-1548149 inc = 1 prob = 0.431154
1 qid:10 1:0.004901 2:0.666667 3:0.250000 4:0.666667 5:0.007349 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.007783 12:0.731390 13:0.372959 14:0.997420 15:0.014407 16:0.002719 17:0.562500 18:0.055556 19:0.333333 20:0.002918 21:0.982440 22:1.000000 23:0.695358 24:1.000000 25:0.808446 26:0.882109 27:0.887677 28:0.832278 29:0.715215 30:0.585253 31:0.718372 32:0.448802 33:1.000000 34:1.000000 35:1.000000 36:1.000000 37:1.000000 38:1.000000 39:0.817002 40:1.000000 41:0.783398 42:0.384615 43:0.040230 44:1.000000 45:0.804598 46:0.000000 #docid = GX068-48-12934837 inc = 1 prob = 0.659932
0 qid:10 1:0.000272 2:0.000000 3:0.000000 4:0.000000 5:0.000272 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000890 12:0.000000 13:0.000000 14:0.000000 15:0.000899 16:0.000022 17:0.312500 18:0.000000 19:1.000000 20:0.000376 21:0.481048 22:0.256745 23:0.000000 24:0.000000 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.427528 38:0.000000 39:0.000000 40:0.000000 41:0.005416 42:0.076923 43:0.000000 44:0.833333 45:1.000000 46:0.000000 #docid = GX169-47-11414154 inc = 1 prob = 0.0922221
0 qid:10 1:0.016335 2:0.000000 3:0.000000 4:0.000000 5:0.016331 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.010301 12:0.000000 13:0.000000 14:0.000000 15:0.010270 16:0.021045 17:1.000000 18:0.388889 19:0.500000 20:0.021595 21:0.790248 22:0.688227 23:0.820580 24:0.721779 25:0.000000 26:0.000000 27:0.000000 28:0.000000 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.000000 34:0.000000 35:0.000000 36:0.000000 37:0.729931 38:0.693880 39:0.749934 40:0.734360 41:0.392860 42:0.307692 43:0.022989 44:1.000000 45:0.747126 46:0.000000 #docid = GX197-89-11306652 inc = 0.600318836372593 prob = 0.18531
1 qid:10 1:0.029132 2:0.333333 3:0.000000 4:0.166667 5:0.029940 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.029412 12:0.349271 13:0.000000 14:0.175557 15:0.031614 16:0.044808 17:0.125000 18:0.222222 19:0.111111 20:0.044827 21:0.675436 22:0.496831 23:0.828632 24:0.593431 25:0.770444 26:0.242093 27:0.289241 28:0.225021 29:0.000000 30:0.000000 31:0.000000 32:0.000000 33:0.287760 34:0.074987 35:0.002373 36:0.052280 37:0.632263 38:0.588320 39:0.772129 40:0.655504 41:0.883323 42:1.000000 43:0.091954 44:0.333333 45:0.206897 46:0.000000 #docid = GX225-79-9870332 inc = 0.568969759822883 prob = 0.517692
